protein.Accession	UNIQID	gene	EC number	ProteinNames	GeneName	SequenceLength	H1	H2	H3	L1	L2	L3	PROTOTROPH1	PROTOTROPH2	PROTOTROPH3
P32288	YPR035W	GLN1	6.3.1.2	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase)	GLN1 YPR035W YP3085.01 YP9367.15	370	7132.472689	8475.016258	6614.631569	6004.865574	7761.24707	7624.665633	5052.05756	7978.080995	6457.164077
P32324	YOR133W	EFT1		Elongation factor 2 (EF-2) (Eukaryotic elongation factor 2) (eEF2) (Ribosomal translocase) (Translation elongation factor 2)	EFT1 YOR133W O3317 YOR3317W; EFT2 YDR385W	842	21769.04677	50343.3749	48338.83382	13318.28509	30570.19351	22115.43236	8573.052959	40540.30089	36065.42849
P32324	YDR385W	EFT2		Elongation factor 2 (EF-2) (Eukaryotic elongation factor 2) (eEF2) (Ribosomal translocase) (Translation elongation factor 2)	EFT1 YOR133W O3317 YOR3317W; EFT2 YDR385W	842	21769.04677	50343.3749	48338.83382	13318.28509	30570.19351	22115.43236	8573.052959	40540.30089	36065.42849
P32332	YKL120W	OAC1		Mitochondrial oxaloacetate transport protein (Mitochondrial carrier protein PMT)	OAC1 PMT PMT1 YKL120W YKL522	324	1832.29037	1884.77691	1710.24238	11208.01338	14506.02406	11599.05789	1414.38149	1888.399057	1632.68368
P32366	YLR447C	VMA6		V-type proton ATPase subunit d (V-ATPase subunit d) (V-ATPase 39 kDa subunit) (V-ATPase subunit M39) (Vacuolar proton pump subunit d)	VMA6 YLR447C L9324.8	345	5745	4955	3950	3313	2916	3083	4623	4102	2498
P32377	YNR043W	MVD1	4.1.1.33	Diphosphomevalonate decarboxylase (EC 4.1.1.33) (Ergosterol biosynthesis protein 19) (Mevalonate pyrophosphate decarboxylase) (Mevalonate-5-diphosphate decarboxylase) (MDD) (MDDase)	MVD1 ERG19 MPD YNR043W N3427	396	5475.029315	5617.643278	5013.176538	6026.430536	5944.989319	6233.61412	5694.318221	5911.150565	4598.158436
P32379	YGR253C	PUP2	3.4.25.1	Proteasome subunit alpha type-5 (EC 3.4.25.1) (Macropain subunit PUP2) (Multicatalytic endopeptidase complex subunit PUP2) (Proteasome component PUP2) (Proteinase YSCE subunit PUP2)	PUP2 DOA5 YGR253C G9155	260	3682.706206	4054.720706	4194.138887	2735.736098	3019.003809	4230.817415	3535.461497	4001.817962	2922.149893
P32381	YDL029W	ARP2		Actin-related protein 2 (Actin-like protein ARP2) (Actin-like protein 2)	ARP2 ACT2 YDL029W D2778	391	3707	3516	3188	2683	3474	3199	2647	3521	2672
P32449	YBR249C	ARO4	2.5.1.54	"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)"	ARO4 YBR249C YBR1701	370	10764.46781	12208.63009	10499.6183	15985.28134	20159.86187	21441.46244	7973.790735	9845.160589	8780.893527
P32468	YHR107C	CDC12		Cell division control protein 12 (Septin)	CDC12 CLA10 PSL7 YHR107C	407	1994.56311	2203.49654	1963.587024	1569.530503	1696.814663	1682.065397	1610.84543	2097.332592	1716.557019
P32471	YAL003W	EFB1		Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha)	EFB1 TEF5 YAL003W	206	29138.82359	31944.09864	42837.69807	16902.57874	20049.1521	18730.47335	22339.10034	30587.1235	28824.48789
P32473	YBR221C	PDB1	1.2.4.1	"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 beta) (PDHE1-B)"	PDB1 YBR221C YBR1511	366	19645	22379	20427	20256	25006	27865	15069	21814	17983
P32476	YGR175C	ERG1	1.14.13.132	Squalene monooxygenase (EC 1.14.13.132) (Squalene epoxidase) (SE)	ERG1 YGR175C	496	3960.59654	4903.339026	3683.790694	8788.742946	12776.53962	8232.225997	4060.358433	5785.545253	5007.81614
P32478	YJL159W	HSP150		Cell wall mannoprotein HSP150 (150 kDa heat shock glycoprotein) (Covalently-linked cell wall protein 7) (Protein with internal repeats 2)	HSP150 CCW7 ORE1 PIR2 YJL159W J0558	413	14330	6572	5137	4935	4273	1930	6202	3978	2250
P32481	YER025W	GCD11		Eukaryotic translation initiation factor 2 subunit gamma (eIF-2-gamma)	GCD11 TIF213 YER025W	527	4365.526186	4424.18403	3978.989574	2891.309193	2920.295482	2440.381316	3245.405288	3860.752011	3422.469353
P32495	YDL208W	NHP2		H/ACA ribonucleoprotein complex subunit 2 (H/ACA snoRNP protein NHP2) (High mobility group-like nuclear protein 2)	NHP2 YDL208W D1045	156	3713	4440	3251	2447	4499	3318	2200	4057	3412
P32527	YGR285C	ZUO1		Zuotin (DnaJ-related protein ZUO1) (J protein ZUO1) (Heat shock protein 40 homolog ZUO1) (Ribosome-associated complex subunit ZUO1)	ZUO1 YGR285C	433	5450.099447	6061.298731	5905.293226	3678.725684	4535.5679	3953.028777	4581.070916	6019.284998	5363.508357
P32582	YGR155W	CYS4	4.2.1.22	Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase) (Sulfur transfer protein 4)	CYS4 STR4 YGR155W G6667	507	11075.27817	11981.41072	11189.53964	7324.505937	7753.910271	7859.004913	8471.722122	10079.7458	7957.446318
P32588	YNL016W	PUB1		Nuclear and cytoplasmic polyadenylated RNA-binding protein PUB1 (ARS consensus-binding protein ACBP-60) (Poly uridylate-binding protein) (Poly(U)-binding protein)	PUB1 RNP1 YNL016W N2842	453	5279	5325	5550	5175	5502	4672	3039	4020	5049
P32589	YPL106C	SSE1		Heat shock protein homolog SSE1 (Chaperone protein MSI3)	SSE1 MSI3 YPL106C LPG3C	693	12728.26012	13618.89999	14484.40317	10403.94223	13170.39242	12158.31916	8343.367944	13257.86629	12177.37841
P32598	YER133W	GLC7	3.1.3.16	Serine/threonine-protein phosphatase PP1-2 (EC 3.1.3.16)	GLC7 CID1 DIS2 YER133W	312	3070	3580	3416	2693	2929	3510	2617	3733	3094
P32599	YDR129C	SAC6		Fimbrin (ABP67)	SAC6 YDR129C YD9302.04C	642	3551.425728	3790.404466	3894.217967	2705.448237	3737.213863	3437.194023	2692.288824	3795.217254	3725.844951
P32614	YEL047C	YEL047c	1.3.1.6	Fumarate reductase (FAD-dependent oxidoreductase FRDS) (NADH) (EC 1.3.1.6) (NADH-dependent fumarate reductase)	YEL047C SYGP-ORF35	470	3594.882196	4148.688708	4444.472972	4670.207811	6088.782555	5386.428223	2828.321057	4576.338056	4386.006498
P32628	YEL037C	RAD23		UV excision repair protein RAD23	RAD23 YEL037C SYGP-ORF29	398	2982.963627	3410.991205	3279.775297	1768.86376	2369.426513	2554.013312	2401.705852	3014.89635	2782.480189
P32803	YGL200C	EMP24		Endosomal protein P24B (24 kDa endomembrane protein) (Basic 24 kDa late endocytic intermediate component)	EMP24 YGL200C G1271	203	2808	2310	3207	1507	2058	2055	2889	2563	2024
P32861	YKL035W	UGP1	2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase) (UDPGP) (UGPase)	UGP1 YKL035W YKL248	499	7489.325358	8675.982505	8723.202918	4755.126936	5429.162008	4741.285734	6033.702517	7751.453634	6828.431252
P32895	YKL181W	PRS1	2.7.6.1	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (Phosphoribosyl pyrophosphate synthase 1)	PRS1 PPS1 PRP1 PRPS PRPS1 YKL181W	427	2684	2727	2923	1766	2117	1884	2160	2587	1966
P32897	YNR017W	TIM23		Mitochondrial import inner membrane translocase subunit TIM23 (Membrane import machinery protein MIM23) (Mitochondrial protein import protein 3) (Mitochondrial protein import protein MAS6)	TIM23 MAS6 MIM23 MPI3 YNR017W N3180	222	2451	2552	3134	1641	1995	2383	2223	2199	1914
P32911	YNL244C	SUI1		Eukaryotic translation initiation factor eIF-1 (Protein translation factor SUI1)	SUI1 RFR1 YNL244C N0905	108	7594	6441	7203	5570	6095	4652	7482	6895	5532
P33201	YKL009W	MRT4		mRNA turnover protein 4	MRT4 YKL009W YKL160	236	3039	4245	3291	2328	2339	3164	3249	3167	2720
P33297	YOR117W	RPT5		26S protease regulatory subunit 6A (Tat-binding protein homolog 1) (TBP-1)	RPT5 YTA1 YOR117W O3258 YOR3258W	434	2244	2823	2062	1914	1828	1382	1840	2321	1977
P33322	YLR175W	CBF5	5.4.99.-	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (Centromere-binding factor 5) (Centromere/microtubule-binding protein CBF5) (H/ACA snoRNP protein CBF5) (Small nucleolar RNP protein CBF5) (p64')	CBF5 YLR175W L9470.11	483	3350.497231	4198.866977	3449.558138	2253.198114	2642.84489	2543.654181	2883.701864	3901.103848	2987.787669
P33330	YOR184W	SER1	2.6.1.52	Phosphoserine aminotransferase (PSAT) (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase)	SER1 SERC YOR184W	395	5367.496063	6499.015536	6871.056748	8213.42037	13521.84258	14024.90807	3489.419169	6583.595966	5261.298649
P33331	YER009W	NTF2		Nuclear transport factor 2 (NTF-2) (Nuclear transport factor P10)	NTF2 YER009W	125	3606.01442	3130.573749	3726.521703	2075.540893	2313.679753	1734.989625	2809.030438	2281.895703	2163.656627
P33399	YDL051W	LHP1		La protein homolog (La autoantigen homolog) (La ribonucleoprotein)	LHP1 LAH1 YLA1 YDL051W	275	2189	1879	2247	1737	1688	1446	1772	2134	2015
P33734	YBR248C	HIS7	2.4.2.-	Imidazole glycerol phosphate synthase hisHF (IGP synthase) (IGPS) (ImGP synthase) [Includes: Glutamine amidotransferase (EC 2.4.2.-); Cyclase (EC 4.1.3.-)]	HIS7 YBR248C YBR1640	552	1173.673605	1338.195015	1189.737404	2113.210127	2303.152179	2452.183532	1090.227809	1111.540172	1014.681787
P33767	YEL002C	WBP1	2.4.99.18	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1 (Oligosaccharyl transferase subunit WBP1) (EC 2.4.99.18) (Oligosaccharyl transferase subunit beta)	WBP1 YEL002C	430	1864	2044	1871	1199	1804	1345	1535	1874	1421
P34227	YBL064C	PRX1	1.11.1.15	Mitochondrial peroxiredoxin PRX1 (EC 1.11.1.15) (1-Cys PRX) (Mitochondrial thiol peroxidase) (mTPx) (Thioredoxin reductase)	PRX1 YBL064C YBL0503 YBL0524	261	1477	1657	1356	2066	2190	2185	1116	1837	1230
P34730	YDR099W	BMH2		Protein BMH2	BMH2 YDR099W YD8557.08	273	4177	4362	6212	3377	4527	4643	2539	3674	3812
P34760	YML028W	TSA1	1.11.1.15	Peroxiredoxin TSA1 (EC 1.11.1.15) (Cytoplasmic thiol peroxidase 1) (cTPx 1) (PRP) (Thiol-specific antioxidant protein 1) (Thioredoxin peroxidase)	TSA1 TPX1 TSA ZRG14 YML028W	196	41261	36929	26451	13070	14952	23008	25170	26283	14972
P35179	YDR086C	SSS1		Protein transport protein SSS1 (Sec61 complex subunit SSS1) (Sec61 complex subunit gamma) (Ssh1 complex subunit SSS1) (Ssh1 complex subunit gamma)	SSS1 YDR086C D4475	80	17879	18268	13398	12937	14438	13920	15273	18058	15303
P35691	YKL056C	TMA19		Translationally-controlled tumor protein homolog (TCTP) (Microtubule and mitochondria-interacting protein 1) (Translation machinery-associated protein 19)	TMA19 MMI1 YKL056C YKL312	167	41885.27313	45396.52506	46856.37726	27103.87978	27590.87819	30215.77677	27890.07209	39684.96825	36565.70094
P35719	YKL142W	MRP8		Uncharacterized protein MRP8	MRP8 YKL142W YKL3	219	1359.288049	1602.061172	2343.074903	1830.363898	2158.856179	2801.757663	1665.29637	1760.316733	1316.363552
P36008	YKL081W	TEF4		Elongation factor 1-gamma 2 (EF-1-gamma 2) (Eukaryotic elongation factor 1Bgamma 2) (eEF1Bgamma 2) (Translation elongation factor 1B gamma 2)	TEF4 EFC1 YKL081W	412	16265.03179	21127.24087	23605.34088	9881.929523	10937.41901	12150.56113	14735.07955	16332.06735	16540.57621
P36010	YKL067W	YNK1	2.7.4.6	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6)	YNK1 NDK1 YNK YKL067W YKL333	153	4705.414074	6193.431394	6585.521426	3390.407232	5792.670804	7032.147691	2733.320779	5414.011193	4228.949438
P36015	YKL196C	YKT6	2.3.1.-	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	YKT6 YKL196C	200	3958.609857	3648.890242	3531.889013	2576.403307	2709.890035	2730.138458	3157.573435	3368.355237	2508.186596
P36081	YKL077W	YKL077w		Uncharacterized protein YKL077W	YKL077W	392	1109	1367	1362	1470	1560	1344	947	1483	1174
P36105	YKL006W	RPL14a		60S ribosomal protein L14-A	RPL14A YKL006W YKL153	138	26187	31477	44039	19134	17592	26027	27266	29192	26062
P36135	YKR042W	UTH1		Protein UTH1 (Youth protein 1)	UTH1 YKR042W	365	1705	2136	1829	2009	2372	2121	1415	2409	1829
P37291	YLR058C	SHM2	2.1.2.1	"Serine hydroxymethyltransferase, cytosolic (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"	SHM2 SHMT2 YLR058C L2156	469	7911.582354	8674.115128	8211.715546	10065.88749	12901.70228	11437.12753	5949.367526	7951.576912	6933.623817
P37292	YBR263W	SHM1	2.1.2.1	"Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)"	SHM1 SHMT1 YBR263W YBR1732	490	3941.109996	4220.188977	3606.263302	1875.321839	3264.402549	2930.296913	2119.908017	4078.448602	3585.941717
P37303	YEL046C	GLY1	4.1.2.48	Low specificity L-threonine aldolase (Low specificity L-TA) (TA) (EC 4.1.2.48)	GLY1 YEL046C SYGP-ORF34	387	4265.419074	5275.385682	5126.629402	6160.265996	6959.3675	8178.558628	3982.215697	4717.451828	4292.47855
P38009	YMR120C	ADE17	2.1.2.3	Bifunctional purine biosynthesis protein ADE17 [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	ADE17 YMR120C YM8564.02C	592	2110.916875	2394.461933	2258.344046	2308.015718	2758.041617	2792.170505	1521.038121	1912.93256	1377.16987
P38011	YMR116C	ASC1		Guanine nucleotide-binding protein subunit beta-like protein (Receptor for activated C kinase) (Receptor of activated protein kinase C 1) (RACK1)	ASC1 CPC2 YMR116C YM9718.15C	319	24612.29633	27116.67439	25385.32304	11593.35732	11700.39751	14391.44057	15763.12634	20614.1211	16156.5384
P38013	YLR109W	AHP1	1.11.1.15	Peroxiredoxin type-2 (EC 1.11.1.15) (AHPC1) (Cytoplasmic thiol peroxidase 3) (cTPx 3) (Peroxiredoxin type II) (Peroxisomal alkyl hydroperoxide reductase) (TPx type II) (Thiol-specific antioxidant II) (TSA II) (Thioredoxin peroxidase type II) (Thioredoxin reductase type II)	AHP1 YLR109W L2916 L9354.5	176	94999	120527	110564	83599	119273	114608	73565	109392	113633
P38061	YBL092W	RPL32		60S ribosomal protein L32	RPL32 YBL092W YBL0838	130	22422.2989	25057.46053	19789.18396	9314.934246	11758.9548	12791.26335	12855.75132	16188.51136	12903.30888
P38075	YBR035C	PDX3	1.4.3.5	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx)	PDX3 YBR035C YBR0321	228	2256.499842	2420.386777	2824.350653	3924.594631	3746.344916	5013.613853	1590.778728	2350.415742	1824.037033
P38088	YBR121C	GRS1	6.1.1.14	"Glycine--tRNA ligase 1, mitochondrial (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase 1) (GlyRS 1) (GlyRS1)"	GRS1 YBR121C YBR0917	690	5406.095993	6038.008918	6304.225369	4318.571068	5532.927532	5176.393829	4127.346943	5300.458382	4560.730934
P38116	YBR164C	ARL1		ADP-ribosylation factor-like protein 1 (Arf-like GTPase 1)	ARL1 ARF3 YBR164C YBR1216	183	2040	2377	2700	2199	2175	2284	1640	2819	2384
P38203	YBL026W	LSM2		U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	LSM2 SMX5 SNP3 YBL026W YBL0425	95	1268	1542	1862	1071	1486	1622	1067	1527	1240
P38205	YBL024W	NCL1	2.1.1.202	Multisite-specific tRNA:(cytosine-C(5))-methyltransferase (EC 2.1.1.202) (Multisite-specific tRNA:m5C-methyltransferase) (tRNA (cytosine-5-)-methyltransferase NCL1) (tRNA methyltransferase 4)	NCL1 TRM4 YBL024W YBL0437	684	1597	1807	2368	889	1625	1495	1005	1802	1288
P38219	YBR025C	OLA1		Obg-like ATPase 1	OLA1 YBR025C YBR0309	394	9243.335437	8829.34454	8414.205845	7945.79587	7868.99085	8102.554412	9175.328604	9424.568637	7848.903108
P38248	YBR078W	ECM33		Cell wall protein ECM33 (Extracellular mutant protein 33)	ECM33 YBR078W YBR0727	429	4725	3889	6296	2732	3854	3703	2068	4498	3825
P38256	YBR096W	YBR096w		Uncharacterized protein YBR096W	YBR096W YBR0824	230	1371	1108	1153	1319	1335	1449	1217	1225	1020
P38264	YBR106W	PHO88		Inorganic phosphate transport protein PHO88 (Phosphate metabolism protein PHO88)	PHO88 YBR106W YBR0835	188	9616.502569	9814.961646	10300.94006	5927.046456	5886.645763	6450.996988	7960.1564	9019.657569	7016.74561
P38295	YBR177C	EHT1	2.3.1.84	Medium-chain fatty acid ethyl ester synthase/esterase 2 (Alcohol O-acetyltransferase) (EC 2.3.1.84) (EC 3.1.1.-) (Ethanol hexanoyl transferase 1)	EHT1 YBR177C YBR1239	451	2804.149604	3219.477597	2510.109958	1885.287246	2420.252053	1952.481498	2934.515974	2792.147561	2511.629551
P38523	YOR232W	MGE1		"GrpE protein homolog, mitochondrial"	MGE1 GRPE GRPE1 YGE1 YOR232W O5099	228	1549	1294	1583	2448	1687	993	2204	1306	1001
P38616	YNL160W	YGP1		Protein YGP1 (GP38)	YGP1 YNL160W N1731	354	3797	5435	4469	5519	7969	6496	3562	4893	4318
P38624	YJL001W	PRE3	3.4.25.1	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit PRE3) (Multicatalytic endopeptidase complex subunit PRE3) (Proteasome component PRE3) (Proteinase YSCE subunit PRE3)	PRE3 YJL001W J1407	215	2106	2232	2044	2185	2454	1925	1792	2213	1691
P38625	YMR217W	GUA1	6.3.5.2	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	GUA1 YMR217W YM8261.11	525	7048.380023	7123.262513	6951.224428	4278.815569	5087.660597	5165.6359	5367.139645	6380.263301	5432.551318
P38701	YHL015W	RPS20		40S ribosomal protein S20	RPS20 URP2 YHL015W	121	52134.92443	49562.26013	53760.1803	37252.04212	41694.84368	38230.44733	38338.04937	47185.05867	43789.22361
P38707	YHR019C	DED81	6.1.1.22	"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)"	DED81 YHR019C	554	11318.95033	14449.18984	13599.63582	7855.092671	9569.40766	10606.1807	8767.314376	12613.81107	11042.13498
P38708	YHR020W	YHR020w	6.1.1.15	Putative proline--tRNA ligase YHR020W (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)	YHR020W	688	3625.941115	4108.027898	4147.760977	3146.266493	3711.191698	3666.710951	2517.112807	3826.170848	3492.062141
P38720	YHR183W	GND1	1.1.1.44	"6-phosphogluconate dehydrogenase, decarboxylating 1 (EC 1.1.1.44)"	GND1 YHR183W	489	7198.889637	7488.502438	7623.741753	5181.150235	5745.030815	5504.073008	5782.46914	7278.53686	5878.593539
P38754	YHL001W	RPL14b		60S ribosomal protein L14-B	RPL14B YHL001W	138	14342	17097	19856	11906	14343	14885	13235	16153	15789
P38764	YHR027C	RPN1		26S proteasome regulatory subunit RPN1 (HMG-CoA reductase degradation protein 2) (Proteasome non-ATPase subunit 1)	RPN1 HRD2 NAS1 RPD1 YHR027C	993	3458.39269	3119.300402	3120.722993	2135.096017	2218.418355	2634.909676	2726.043287	3214.372723	2835.078482
P38765	YHR029C	YHI9	5.1.-.-	Uncharacterized isomerase YHI9 (EC 5.1.-.-)	YHI9 YHR029C	294	1221	1607	969	8919	10999	7395	1376	1482	1514
P38787	YHR063C	PAN5	1.1.1.169	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	PAN5 YHR063C	379	1905.861223	2203.966424	2273.968338	3000.916527	3346.30946	3167.97822	1752.246558	2334.099184	1782.989905
P38788	YHR064C	SSZ1		Ribosome-associated complex subunit SSZ1 (DnaK-related protein SSZ1) (Heat shock protein 70 homolog SSZ1) (Pleiotropic drug resistance protein 13)	SSZ1 PDR13 YHR064C	538	7237.081742	8001.292877	7628.173602	4755.695315	5699.346609	5634.255838	6243.400747	7359.578785	6121.886124
P38791	YHR068W	DYS1	2.5.1.46	Deoxyhypusine synthase (DHS) (EC 2.5.1.46)	DYS1 YHR068W	387	3461	4565	3377	2332	3442	3376	2611	4006	2888
P38858	YHR163W	SOL3	3.1.1.31	6-phosphogluconolactonase 3 (6PGL) (EC 3.1.1.31)	SOL3 YHR163W	249	3881	3615	3439	2819	2911	2731	3648	3834	3148
P38879	YHR193C	EGD2		Nascent polypeptide-associated complex subunit alpha (NAC-alpha) (Alpha-NAC) (GAL4 DNA-binding enhancer protein 2)	EGD2 YHR193C	174	7818.491415	9266.121087	10153.67589	6345.806489	5418.252947	6174.52484	8243.133688	7037.201148	6464.757072
P38882	YHR196W	UTP9		U3 small nucleolar RNA-associated protein 9 (U3 snoRNA-associated protein 9) (U three protein 9) (U3 protein 9 required for transcription) (t-UTP9)	UTP9 YHR196W	575	24539	28058	32462	28376	37864	37554	22318	29006	27737
P38886	YHR200W	RPN10		26S proteasome regulatory subunit RPN10	RPN10 MCB1 SUN1 YHR200W	268	2331	2687	2929	1734	2620	2568	2283	2585	2638
P38891	YHR208W	BAT1	2.6.1.42	"Branched-chain-amino-acid aminotransferase, mitochondrial (BCAT) (EC 2.6.1.42) (Protein ECA39) (Protein TWT1)"	BAT1 ECA39 TWT1 YHR208W	393	2989.534578	3192.700377	3073.337095	14184.7671	17450.38408	17681.11626	2494.045236	2953.898274	2496.344873
P38912	YMR260C	TIF11		Eukaryotic translation initiation factor 1A (eIF-1A) (Eukaryotic translation initiation factor 4C) (eIF-4C)	TIF11 YMR260C YM8156.02C	153	9441.254513	12279.95079	12299.72541	10511.47717	11649.89493	9872.651947	7066.651132	12654.29541	11218.10487
P38934	YOR198C	BFR1		Nuclear segregation protein BFR1 (Brefeldin A resistance protein 1)	BFR1 YOR198C	470	5411.903918	5967.467681	5919.79225	3795.495426	5013.165208	4520.443613	4052.50553	6027.569476	5155.987948
P38972	YGR061C	ADE6	6.3.5.3	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribotide amidotransferase) (FGARAT) (Formylglycinamide ribotide synthetase)	ADE6 YGR061C	1358	2380.336111	2638.255295	2090.276537	3142.169314	3172.106713	2255.063635	1662.672547	2197.047564	2289.23153
P38986	YDR321W	ASP1	3.5.1.1	L-asparaginase 1 (EC 3.5.1.1) (L-asparaginase I) (L-asparagine amidohydrolase I) (ASP I)	ASP1 YDR321W D9798.6	381	2510	2009	2386	1423	1002	1018	2252	2154	1624
P38988	YDL198C	GGC1		Mitochondrial GTP/GDP carrier protein 1	GGC1 SHM1 YHM1 YDL198C D1214	300	1565	1666	1539	5472	4810	5528	1545	1456	1336
P38999	YNR050C	LYS9	1.5.1.10	"Saccharopine dehydrogenase [NADP(+), L-glutamate-forming] (EC 1.5.1.10) (Saccharopine reductase)"	LYS9 LYS13 YNR050C N3461	446	5485	7136	5297	4842	5494	6803	4487	6063	4150
P39015	YLR150W	STM1		Suppressor protein STM1 (3BP1) (GU4 nucleic-binding protein 2) (G4p2 protein) (POP2 multicopy suppressor protein 4) (Ribosomal subunits association factor) (AF) (TOM1 suppressor protein 1) (Triplex-binding protein 1)	STM1 MPT4 STO1 YLR150W L9634.1	273	31809.01977	35831.21352	31724.27913	18325.76877	15523.55835	22460.95017	22668.43792	22717.74227	19768.78406
P39076	YIL142W	CCT2		T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)	CCT2 BIN3 TCP2 YIL142W	527	3649.655874	3847.595743	3614.929045	2580.67433	3088.437307	2833.183722	2227.653474	3868.194928	3153.368041
P39077	YJL014W	CCT3		T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma)	CCT3 BIN2 TCP3 YJL014W J1336	534	6196	6134	5276	2925	4406	3382	4291	5859	4730
P39078	YDL143W	CCT4		T-complex protein 1 subunit delta (TCP-1-delta) (CCT-delta)	CCT4 ANC2 TCP4 YDL143W	528	1429	1176	777	844	784	622	973	1217	876
P39079	YDR188W	CCT6		T-complex protein 1 subunit zeta (TCP-1-zeta) (CCT-zeta)	CCT6 TCP20 TCP6 YDR188W YD9395.21	546	2016.816799	2417.645135	1723.438424	1297.940677	1628.057739	1361.651938	1514.04029	2212.091318	1823.271784
P39517	YDL160C	DHH1	3.6.4.13	ATP-dependent RNA helicase DHH1 (EC 3.6.4.13) (DExD/H-box helicase 1)	DHH1 YDL160C	506	3556.818803	3255.388456	3241.587111	2422.802922	2333.722349	2201.334141	3067.713155	3757.833152	2737.670543
P39522	YJR016C	ILV3	4.2.1.9	"Dihydroxy-acid dehydratase, mitochondrial (DAD) (EC 4.2.1.9) (2,3-dihydroxy acid hydrolyase)"	ILV3 YJR016C J1450	585	8178.046044	7833.267553	7522.335468	21785.44123	23535.08631	21734.655	6278.965428	7443.446968	6333.729038
P39676	YGR234W	YHB1	1.14.12.17	Flavohemoprotein (EC 1.14.12.17) (Flavohemoglobin) (Hemoglobin-like protein) (Nitric oxide dioxygenase) (NO oxygenase) (NOD)	YHB1 YHB YGR234W G8572	399	6358.609049	7847.005711	6072.683405	3904.974727	3726.191214	3351.004204	5325.311626	5834.031528	3879.364914
P39692	YFR030W	MET10	1.8.1.2	Sulfite reductase [NADPH] flavoprotein component (EC 1.8.1.2)	MET10 YFR030W	1035	788	846	816	1699	1958	1371	679	1024	824
P39704	YAL007C	ERP2		Protein ERP2	ERP2 YAL007C FUN54	215	1096	1468	1783	670	1013	1218	665	1827	1288
P39935	YGR162W	TIF4631		Eukaryotic initiation factor 4F subunit p150 (eIF-4F p150) (eIF4F p150) (eIF4G1) (mRNA cap-binding protein complex subunit p150)	TIF4631 YGR162W	952	1184	1297	1449	1317	1486	1246	949	1132	822
P39954	YER043C	SAH1	3.3.1.1	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	SAH1 YER043C	449	32140.81358	34430.9474	23982.94955	15149.26022	22386.92846	11403.4351	18535.35231	33623.83772	14618.30044
P39976	YEL071W	DLD3	1.1.2.4	D-lactate dehydrogenase [cytochrome] 3 (EC 1.1.2.4) (D-lactate ferricytochrome C oxidoreductase) (D-LCR)	DLD3 YEL071W	496	7938.815196	8415.569421	6338.270322	11051.61591	12814.35499	12662.42356	5125.987069	6736.055172	5254.894232
P39987	YEL030W	ECM10		"Heat shock protein SSC3, mitochondrial (Extracellular mutant protein 10)"	ECM10 SSC3 YEL030W	644	24510	23379	24708	16777	17741	18514	19607	23972	18940
